SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
,September,0.20,,5.25,13.90,,4.30,11.20,,11.50,5.25,4.30,3.50,
,Október,0.20,,5.25,13.90,,3.90,11.20,,11.50,5.25,4.30,3.50,
,Nóvember,0.20,,5.25,14.15,,3.90,11.45,,11.50,5.40,3.90,3.60,
,Desember,0.20,,5.40,14.15,,3.90,11.45,,11.75,5.25,3.90,3.50,
,,,,,,,,,,,,,,
2012,Janúar,0.20,,5.40,14.15,,3.90,11.45,,11.75,5.40,3.90,3.60,
,Febrúar,0.20,,5.40,13.50,,3.75,11.45,,11.75,5.40,3.90,3.60,
,Mars,0.20,,5.40,13.50,,3.75,11.45,,11.75,5.40,3.75,3.60,
,Apríl,0.40,,5.65,13.50,,3.75,11.45,,12.00,5.40,3.75,3.60,
,Maí,0.50,,5.65,13.50,,3.75,11.45,,12.00,5.65,3.75,3.77,
,Júní,0.90,,6.15,13.50,,3.75,11.45,,12.50,5.65,3.75,3.77,
,Júlí,1.00,,6.40,13.50,,3.75,11.45,,12.75,6.15,3.75,4.10,
,Ágúst,1.00,,6.40,13.50,,3.75,11.45,,12.75,6.40,3.75,4.27,
,September,0.90,,6.40,13.50,,3.75,11.45,,12.75,6.40,3.75,4.27,
,Október,0.90,,6.40,13.50,,3.75,11.45,,12.75,6.40,3.75,4.27,
,Nóvember,0.90,,6.75,13.50,,3.75,11.45,,12.75,6.40,3.75,4.27,
,Desember,1.00,,6.75,13.75,,3.75,11.45,,13.00,6.40,3.75,4.27,
,,,,,,,,,,,,,,
2013,Janúar,1.05,,6.75,13.75,,3.75,11.45,,13.00,6.75,3.75,4.50,
,Febrúar,1.06,,6.75,13.75,,3.50,11.45,,13.00,6.75,3.75,4.50,
,Mars,1.06,,6.75,13.75,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Apríl,1.05,,6.75,13.75,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Maí,1.05,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Júní,1.05,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Júlí,1.07,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Ágúst,1.07,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,September,1.07,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Október,0.94,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Nóvember,0.94,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Desember,0.94,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,,,,,,,,,,,,,,
2014,Janúar,1.05,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Febrúar,1.05,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Mars,1.01,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Apríl,1.01,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Maí,1.01,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Júní,1.01,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Júlí,1.03,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Ágúst,0.99,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,September,0.99,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Október,0.99,,6.75,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Nóvember,0.85,,6.50,12.85,,3.50,11.45,,13.00,6.75,3.50,4.50,
,Desember,0.60,,6.00,12.70,,3.50,10.70,,12.75,6.50,3.50,4.33,
,,,,,,,,,,,,,,
2015,Janúar,0.52,,6.00,12.20,,3.65,10.70,,12.25,6.50,3.50,4.33,
,Febrúar,0.40,,6.00,12.20,,3.65,10.70,,12.25,6.00,3.65,4.00,
,Mars,0.40,,6.00,12.20,,3.65,10.70,,12.25,6.00,3.65,4.00,
,Apríl,0.41,,6.00,12.20,,3.65,10.70,,12.25,6.00,3.65,4.00,
,Maí,0.41,,6.00,12.20,,3.65,10.70,,12.25,6.00,3.65,4.00,
,Júní,0.76,,6.10,12.70,,3.65,10.70,,12.25,6.00,3.65,4.00,
,Júlí,0.76,,6.10,12.70,,3.65,10.70,,12.75,6.00,3.65,4.00,
,Ágúst,0.76,,6.10,12.70,,3.65,10.70,,12.75,6.10,3.65,4.07,
,September,1.44,,6.60,13.20,,3.65,10.70,,13.25,6.10,3.65,4.07,
,Október,1.44,,7.00,13.25,,3.65,10.70,,13.25,6.60,3.65,4.40,
,Nóvember,1.69,,7.05,13.35,,3.65,10.70,,13.25,7.00,3.65,4.67,
,Desember,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
,,,,,,,,,,,,,,
2016,Janúar,1.69,,7.05,13.45,,3.65,10.70,,13.50,7.05,3.65,4.70,
