utgdag,kaupverd,fasteignamat,einflm,lod_flm,fmverd,yfirverd,count,sveitarfelag_Garðabær,sveitarfelag_Hafnarfjarðarkaupstaður,sveitarfelag_Kópavogsbær,sveitarfelag_Mosfellsbær,sveitarfelag_Reykjavíkurborg,tegund_Fjolbyli,tegund_Serbyli
2015-09-30,37556.15969581749,29903.99239543726,118.75418250950567,3644.9064638783275,332.3479798638854,0.5219288354048673,526,49.0,60.0,106.0,20.0,291.0,441.0,85.0
2015-10-31,37909.80534351145,29976.8320610687,122.71412213740464,3982.423854961833,324.64071254841423,0.5437029148527222,524,52.0,70.0,101.0,15.0,286.0,427.0,97.0
2015-11-30,36343.62260869565,28268.852173913045,118.39460869565217,3875.745739130433,327.18593155644044,0.6477198415680107,575,42.0,80.0,114.0,18.0,321.0,476.0,99.0
2015-12-31,38236.50182481752,30052.26277372263,120.79817518248169,3854.23795620438,331.55225577550647,0.5550647545605537,548,55.0,89.0,117.0,9.0,278.0,450.0,98.0
2016-01-31,38600.06176470588,32472.823529411766,123.06882352941182,3289.8135294117637,333.8849552598484,0.32030887274646186,340,15.0,53.0,76.0,13.0,183.0,272.0,68.0
2016-02-29,37631.51859504132,31246.77685950413,117.36900826446275,3888.907024793387,339.2594545366131,0.44573746756019234,484,23.0,66.0,77.0,19.0,299.0,400.0,84.0
2016-03-31,39296.961267605635,32602.323943661973,125.14489436619698,3355.6084507042247,335.43631374866055,0.32026357182115406,568,33.0,79.0,124.0,23.0,309.0,438.0,130.0
2016-04-30,39334.5,31645.58303886926,121.07632508833919,3720.5021201413438,342.44132235797537,0.466603458434821,566,45.0,86.0,129.0,12.0,294.0,461.0,105.0
2016-05-31,41536.00386100386,33619.49806949807,129.53088803088798,3349.337451737451,341.2885411039079,0.36710192680652753,518,46.0,88.0,104.0,21.0,259.0,398.0,120.0
2016-06-30,40767.06227758007,32468.131672597865,121.50907473309601,3622.3240213523122,355.5869562165757,0.48159804617157614,562,60.0,98.0,86.0,29.0,289.0,457.0,105.0
2016-07-31,39146.62075471698,30171.771698113207,115.8783018867924,3345.6284905660364,361.7679847067689,0.6901689218519883,530,63.0,97.0,75.0,15.0,280.0,430.0,100.0
2016-08-31,40202.275268817204,31276.387096774193,119.23161290322577,3621.744301075269,360.71811192170236,0.4596073137533699,465,36.0,60.0,89.0,22.0,258.0,378.0,87.0
2016-09-30,40974.581475128645,31831.08061749571,117.71440823327619,3728.2027444253863,368.98234832932263,0.4738882882655122,583,39.0,78.0,95.0,36.0,335.0,476.0,107.0
2016-10-31,41299.487318840576,31644.3115942029,118.08442028985505,3393.097463768117,373.12853728316264,0.43832888937352943,552,43.0,67.0,91.0,27.0,324.0,452.0,100.0
2016-11-30,42341.15629984051,31857.974481658694,118.10303030303022,3718.5676236044646,380.01330895288754,0.4592189775942044,627,41.0,91.0,101.0,24.0,370.0,526.0,101.0
