,date,fjöldi_kaupsamninga,auglyst_serbyli,auglyst_fjolbyli,solutimi,Verðtryggð lán,erlend_lan,Óverðtryggð lán,overdtryggt,verdtryggt,visitala_rvk_%,verdbolga_%,Reykjavík,Kópavogur,Garðabær,Hafnarfjörður,Mosfellsbær,"Eigendur, skuldlaust",Eigendur m. lán,"Leigjendur, alls"
93,2014-01-01,445.77,0.8,1.03,4.1,77.95,0.91,13.29,6.75,3.5,0.3,-1.0864072764022237,0.4228738761032747,0.3954129008295159,0.3659379407616361,0.3663778923127536,0.3429201101928374,17.7,57.2,25.2
94,2014-02-01,485.44,0.8,1.03,3.78,77.5,0.95,13.32,6.75,3.5,1.4,0.8684546615580935,0.4232902340307884,0.3950372411094836,0.3667860861419036,0.3660945328263021,0.3428918214402085,17.566666666666666,57.15833333333334,25.366666666666667
95,2014-03-01,488.13,0.79,1.07,3.79,75.49,0.85,13.19,6.75,3.5,2.2,0.2279057989364563,0.4237065919583021,0.3946615813894513,0.3676342315221711,0.3658111733398507,0.3428635326875796,17.433333333333334,57.11666666666667,25.53333333333333
96,2014-04-01,491.65,0.79,1.15,3.94,72.73,0.72,13.09,6.75,3.5,0.7,0.050530570995444,0.4241229498858158,0.394285921669419,0.3684823769024385,0.3655278138533993,0.3428352439349507,17.3,57.075,25.7
97,2014-05-01,519.07,0.78,1.25,3.93,72.22777777777777,0.7155555555555555,13.027777777777777,6.75,3.5,-0.1,-0.0757575757575734,0.4245393078133295,0.3939102619493866,0.3693305222827061,0.3652444543669478,0.3428069551823217,17.166666666666668,57.03333333333334,25.866666666666667
98,2014-06-01,463.83,0.8,1.47,4.89,71.72555555555556,0.7111111111111111,12.965555555555556,6.75,3.5,-0.8,0.4801617386909429,0.4249556657408432,0.3935346022293543,0.3701786676629736,0.3649610948804964,0.3427786664296928,17.033333333333335,56.99166666666667,26.03333333333333
99,2014-07-01,527.08,0.79,1.48,4.29,71.22333333333333,0.7066666666666667,12.903333333333332,6.75,3.5,0.3,-0.2263581488933685,0.4253720236683568,0.393158942509322,0.3710268130432411,0.3646777353940449,0.3427503776770639,16.9,56.95,26.2
100,2014-08-01,471.12,0.77,1.44,4.68,70.72111111111111,0.7022222222222222,12.841111111111111,6.75,3.5,2.6,0.1764557600201666,0.4257883815958705,0.3927832827892897,0.3718749584235086,0.3643943759075935,0.3427220889244349,16.766666666666666,56.90833333333334,26.366666666666667
101,2014-09-01,477.2,0.79,1.46,4.71,70.21888888888888,0.6977777777777778,12.778888888888888,6.75,3.5,0.1,-0.4277805737292417,0.4262047395233842,0.3924076230692574,0.3727231038037761,0.3641110164211421,0.342693800171806,16.633333333333333,56.86666666666667,26.53333333333333
102,2014-10-01,485.97,0.79,1.47,4.64,69.71666666666667,0.6933333333333334,12.716666666666667,6.75,3.5,0.0,0.0252716704574273,0.4266210974508979,0.3920319633492251,0.3735712491840436,0.3638276569346906,0.3426655114191771,16.5,56.825,26.7
103,2014-11-01,493.84,0.79,1.53,4.68,69.21444444444444,0.6888888888888889,12.654444444444444,6.75,3.5,0.6,-0.606366851945439,0.4270374553784116,0.3916563036291928,0.374419394564311,0.3635442974482392,0.3426372226665481,16.366666666666667,56.78333333333334,26.866666666666667
104,2014-12-01,474.89,0.75,1.48,4.68,68.71222222222222,0.6844444444444445,12.592222222222222,6.5,3.5,2.0,0.2287747839349263,0.4274538133059252,0.3912806439091605,0.3752675399445785,0.3632609379617877,0.3426089339139193,16.233333333333334,56.74166666666667,27.03333333333333
105,2015-01-01,497.01,0.7,1.41,4.25,68.21,0.68,12.53,6.5,3.5,1.0,-1.2934313974131473,0.4278701712334389,0.3909049841891281,0.376115685324846,0.3629775784753363,0.3425806451612903,16.1,56.7,27.2
